#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 589: Lone Cone, CO
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lone Cone (589) 
# Colorado  SNOTEL Site - 9730 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 21, 2026, 7:07:29 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-09-24,0.0,36.10,,,,0.00
1980-09-25,0.0,36.10,,,,0.00
1980-09-26,0.0,36.10,,,,0.00
1980-09-27,0.0,36.10,,,,0.00
1980-09-28,0.0,36.10,,,,0.00
1980-09-29,0.0,36.10,,,,0.00
1980-09-30,0.0,36.10,,,,0.00
1980-10-01,0.0,0.00,,,,0.00
1980-10-02,0.0,0.00,,,,0.00
1980-10-03,0.0,0.00,,,,0.00
1980-10-04,0.0,0.00,,,,0.00
1980-10-05,0.0,0.00,,,,0.00
1980-10-06,0.0,0.00,,,,0.00
1980-10-07,0.0,0.00,,,,0.00
1980-10-08,0.0,0.00,,,,0.00
1980-10-09,0.0,0.00,,,,0.00
1980-10-10,0.0,0.00,,,,0.00
1980-10-11,0.0,0.00,,,,0.00
1980-10-12,0.0,0.00,,,,0.00
1980-10-13,0.0,0.00,,,,0.20
1980-10-14,0.0,0.20,,,,0.70
1980-10-15,0.0,0.90,,,,1.40
1980-10-16,1.0,2.30,,,,0.50
1980-10-17,1.5,2.80,,,,0.00
1980-10-18,1.5,2.80,,,,0.00
1980-10-19,1.5,2.80,,,,0.00
1980-10-20,1.5,2.80,,,,0.00
1980-10-21,1.5,2.80,,,,0.10
1980-10-22,1.5,2.90,,,,0.00
1980-10-23,1.5,2.90,,,,0.00
1980-10-24,1.5,2.90,,,,0.00
1980-10-25,1.5,2.90,,,,0.00
1980-10-26,1.6,2.90,,,,0.10
1980-10-27,1.7,3.00,,,,0.40
1980-10-28,1.8,3.40,,,,0.00
1980-10-29,1.9,3.40,,,,0.00
1980-10-30,1.9,3.40,,,,0.00
1980-10-31,1.9,3.40,,,,0.00
1980-11-01,1.8,3.40,,,,0.00
1980-11-02,1.7,3.40,,,,0.00
1980-11-03,1.7,3.40,,,,0.00
1980-11-04,1.7,3.40,,,,0.00
1980-11-05,1.7,3.40,,,,0.00
1980-11-06,1.7,3.40,,,,0.00
1980-11-07,1.7,3.40,,,,0.00
1980-11-08,1.6,3.40,,,,0.00
1980-11-09,1.6,3.40,,,,0.00
1980-11-10,1.6,3.40,,,,0.00
1980-11-11,1.6,3.40,,,,0.00
1980-11-12,2.0,3.40,,,,0.40
1980-11-13,2.4,3.80,,,,0.40
1980-11-14,2.4,4.20,,,,0.20
1980-11-15,2.4,4.40,,,,0.00
1980-11-16,2.5,4.40,,,,0.00
1980-11-17,2.5,4.40,,,,0.00
1980-11-18,2.5,4.40,,,,0.10
1980-11-19,2.6,4.50,,,,0.00
1980-11-20,2.6,4.50,,,,0.00
1980-11-21,2.6,4.50,,,,0.00
1980-11-22,2.6,4.50,,,,0.00
1980-11-23,2.6,4.50,,,,0.10
1980-11-24,2.6,4.60,,,,0.30
1980-11-25,2.9,4.90,,,,0.00
1980-11-26,2.9,4.90,,,,0.00
1980-11-27,2.9,4.90,,,,0.00
1980-11-28,2.9,4.90,,,,0.00
1980-11-29,2.9,4.90,,,,0.00
1980-11-30,2.9,4.90,,,,0.00
1980-12-01,2.9,4.90,,,,0.00
1980-12-02,2.9,4.90,,,,0.00
1980-12-03,2.9,4.90,,,,0.00
1980-12-04,3.0,4.90,,,,0.00
1980-12-05,3.1,4.90,,,,0.80
1980-12-06,3.9,5.70,,,,0.40
1980-12-07,4.5,6.10,,,,0.20
1980-12-08,4.5,6.30,,,,0.00
1980-12-09,4.5,6.30,,,,0.00
1980-12-10,4.5,6.30,,,,0.00
1980-12-11,4.5,6.30,,,,0.00
1980-12-12,4.8,6.30,,,,0.00
1980-12-13,4.9,6.30,,,,0.00
1980-12-14,4.9,6.30,,,,0.00
1980-12-15,4.9,6.30,,,,0.00
1980-12-16,4.9,6.30,,,,0.00
1980-12-17,4.9,6.30,,,,0.00
1980-12-18,5.0,6.30,,,,0.00
1980-12-19,5.0,6.30,,,,0.00
1980-12-20,5.0,6.30,,,,0.10
1980-12-21,5.2,6.40,,,,0.00
1980-12-22,5.2,6.40,,,,0.00
1980-12-23,5.2,6.40,,,,0.00
1980-12-24,5.2,6.40,,,,0.00
1980-12-25,5.2,6.40,,,,0.00
1980-12-26,5.2,6.40,,,,0.20
1980-12-27,5.2,6.60,,,,0.00
1980-12-28,5.2,6.60,,,,0.00
1980-12-29,5.2,6.60,,,,0.00
1980-12-30,5.2,6.60,,,,0.00
1980-12-31,5.2,6.60,,,,0.00
1981-01-01,5.2,6.60,,,,0.00
1981-01-02,5.2,6.60,,,,0.00
1981-01-03,5.2,6.60,,,,0.00
1981-01-04,5.2,6.60,,,,0.00
1981-01-05,5.2,6.60,,,,0.10
1981-01-06,5.3,6.70,,,,0.00
1981-01-07,5.3,6.70,,,,0.00
1981-01-08,5.3,6.70,,,,0.00
1981-01-09,5.0,6.70,,,,0.00
1981-01-10,4.8,6.70,,,,0.00
1981-01-11,4.8,6.70,,,,0.00
1981-01-12,4.8,6.70,,,,0.00
1981-01-13,4.6,6.70,,,,0.10
1981-01-14,4.6,6.80,,,,0.00
1981-01-15,4.6,6.80,,,,0.00
1981-01-16,4.6,6.80,,,,0.00
1981-01-17,4.6,6.80,,,,0.00
1981-01-18,4.6,6.80,,,,0.20
1981-01-19,4.6,7.00,,,,0.00
1981-01-20,4.8,7.00,,,,0.00
1981-01-21,5.0,7.00,,,,0.00
1981-01-22,5.0,7.00,,,,0.00
1981-01-23,5.0,7.00,,,,0.00
1981-01-24,5.0,7.00,,,,0.00
1981-01-25,5.0,7.00,,,,0.00
1981-01-26,5.0,7.00,,,,0.00
1981-01-27,5.0,7.00,,,,0.00
1981-01-28,5.0,7.00,,,,0.00
1981-01-29,5.0,7.00,,,,0.00
1981-01-30,5.0,7.00,,,,0.00
1981-01-31,5.0,7.00,,,,0.70
1981-02-01,6.5,7.70,,,,0.00
1981-02-02,6.2,7.70,,,,0.00
1981-02-03,6.0,7.70,,,,0.00
1981-02-04,5.9,7.70,,,,0.20
1981-02-05,5.8,7.90,,,,0.00
1981-02-06,5.8,7.90,,,,0.00
1981-02-07,5.8,7.90,,,,0.00
1981-02-08,5.8,7.90,,,,0.00
1981-02-09,6.1,7.90,,,,0.40
1981-02-10,6.4,8.30,,,,0.30
1981-02-11,6.4,8.60,,,,0.00
1981-02-12,6.4,8.60,,,,0.00
1981-02-13,6.4,8.60,,,,0.00
1981-02-14,6.4,8.60,,,,0.00
1981-02-15,6.4,8.60,,,,0.00
1981-02-16,6.4,8.60,,,,0.00
1981-02-17,6.4,8.60,,,,0.00
1981-02-18,6.4,8.60,,,,0.00
1981-02-19,6.4,8.60,,,,0.00
1981-02-20,6.7,8.60,,,,0.20
1981-02-21,6.8,8.80,,,,0.00
1981-02-22,7.0,8.80,,,,0.00
1981-02-23,7.1,8.80,,,,0.00
1981-02-24,7.2,8.80,,,,0.00
1981-02-25,7.3,8.80,,,,0.00
1981-02-26,7.4,8.80,,,,0.70
1981-02-27,8.1,9.50,,,,0.00
1981-02-28,8.1,9.50,,,,0.00
1981-03-01,8.2,9.50,,,,0.20
1981-03-02,8.3,9.70,,,,0.50
1981-03-03,8.7,10.20,,,,0.40
1981-03-04,8.7,10.60,,,,0.00
1981-03-05,8.7,10.60,,,,0.00
1981-03-06,8.8,10.60,,,,0.40
1981-03-07,8.8,11.00,,,,0.00
1981-03-08,8.8,11.00,,,,0.00
1981-03-09,8.9,11.00,,,,0.10
1981-03-10,9.0,11.10,,,,0.30
1981-03-11,9.4,11.40,,,,0.20
1981-03-12,9.7,11.60,,,,0.00
1981-03-13,9.9,11.60,,,,0.00
1981-03-14,10.1,11.60,,,,0.20
1981-03-15,10.5,11.80,,,,0.00
1981-03-16,10.5,11.80,,,,0.00
1981-03-17,10.7,11.80,,,,0.00
1981-03-18,10.9,11.80,,,,0.10
1981-03-19,10.9,11.90,,,,0.00
1981-03-20,10.9,11.90,,,,0.80
1981-03-21,11.7,12.70,,,,0.00
1981-03-22,11.7,12.70,,,,0.00
1981-03-23,11.8,12.70,,,,0.00
1981-03-24,11.2,12.70,,,,0.00
1981-03-25,11.2,12.70,,,,0.10
1981-03-26,11.2,12.80,,,,0.50
1981-03-27,11.3,13.30,,,,0.10
1981-03-28,11.3,13.40,,,,0.30
1981-03-29,11.3,13.70,,,,0.00
1981-03-30,11.3,13.70,,,,0.30
1981-03-31,11.6,14.00,,,,0.00
1981-04-01,11.6,14.00,,,,0.00
1981-04-02,11.6,14.00,,,,0.60
1981-04-03,11.9,14.60,,,,1.00
1981-04-04,13.1,15.60,,,,0.10
1981-04-05,13.2,15.70,,,,0.00
1981-04-06,13.2,15.70,,,,0.00
1981-04-07,13.2,15.70,,,,0.00
1981-04-08,13.2,15.70,,,,0.00
1981-04-09,13.2,15.70,,,,0.00
1981-04-10,12.5,15.70,,,,0.00
1981-04-11,11.6,15.70,,,,0.10
1981-04-12,10.6,15.80,,,,0.00
1981-04-13,10.5,15.80,,,,0.00
1981-04-14,10.0,15.80,,,,0.00
1981-04-15,9.7,15.80,,,,0.20
1981-04-16,8.9,16.00,,,,0.10
1981-04-17,8.5,16.10,,,,0.00
1981-04-18,7.9,16.10,,,,0.00
1981-04-19,7.6,16.10,,,,0.00
1981-04-20,6.8,16.10,,,,0.00
1981-04-21,6.3,16.10,,,,0.00
1981-04-22,5.2,16.10,,,,0.00
1981-04-23,4.3,16.10,,,,0.00
1981-04-24,2.4,16.10,,,,0.00
1981-04-25,0.4,16.10,,,,0.00
1981-04-26,0.4,16.10,,,,0.00
1981-04-27,0.0,16.10,,,,0.00
1981-04-28,0.0,16.10,,,,0.00
1981-04-29,0.0,16.10,,,,0.00
1981-04-30,0.0,16.10,,,,0.00
1981-05-01,0.0,16.10,,,,0.00
1981-05-02,0.0,16.10,,,,0.00
1981-05-03,0.0,16.10,,,,1.10
1981-05-04,0.0,17.20,,,,0.00
1981-05-05,0.0,17.20,,,,0.00
1981-05-06,0.0,17.20,,,,0.00
1981-05-07,0.0,17.20,,,,0.00
1981-05-08,0.0,17.20,,,,0.00
1981-05-09,0.0,17.20,,,,0.00
1981-05-10,0.0,17.20,,,,0.00
1981-05-11,0.0,17.20,,,,0.10
1981-05-12,0.0,17.30,,,,0.00
1981-05-13,0.0,17.30,,,,0.00
1981-05-14,0.0,17.30,,,,0.00
1981-05-15,0.0,17.30,,,,0.40
1981-05-16,0.0,17.70,,,,0.30
1981-05-17,0.0,18.00,,,,0.10
1981-05-18,0.0,18.10,,,,0.00
1981-05-19,0.0,18.10,,,,0.00
1981-05-20,0.0,18.10,,,,0.30
1981-05-21,0.0,18.40,,,,0.00
1981-05-22,0.0,18.40,,,,0.00
1981-05-23,0.0,18.40,,,,0.00
1981-05-24,0.0,18.40,,,,0.10
1981-05-25,0.0,18.50,,,,0.00
1981-05-26,0.0,18.50,,,,0.00
1981-05-27,0.0,18.50,,,,0.30
1981-05-28,0.0,18.80,,,,0.20
1981-05-29,0.0,19.00,,,,0.10
1981-05-30,0.0,19.10,,,,0.10
1981-05-31,0.0,19.20,,,,0.20
1981-06-01,0.0,19.40,,,,0.00
1981-06-02,0.0,19.40,,,,0.00
1981-06-03,0.0,19.40,,,,0.20
1981-06-04,0.0,19.60,,,,0.00
1981-06-05,0.0,19.60,,,,0.00
1981-06-06,0.0,19.60,,,,0.00
1981-06-07,0.0,19.60,,,,0.00
1981-06-08,0.0,19.60,,,,0.00
1981-06-09,0.0,19.60,,,,0.00
1981-06-10,0.0,19.60,,,,0.00
1981-06-11,0.0,19.60,,,,0.00
1981-06-12,0.0,19.60,,,,0.00
1981-06-13,0.0,19.60,,,,0.00
1981-06-14,0.0,19.60,,,,0.20
1981-06-15,0.0,19.80,,,,0.00
1981-06-16,0.0,19.80,,,,0.00
1981-06-17,0.0,19.80,,,,0.00
1981-06-18,0.0,19.80,,,,0.00
1981-06-19,0.0,19.80,,,,0.00
1981-06-20,0.0,19.80,,,,0.00
1981-06-21,0.0,19.80,,,,0.00
1981-06-22,0.0,19.80,,,,0.00
1981-06-23,0.0,19.80,,,,0.00
1981-06-24,0.0,19.80,,,,0.00
1981-06-25,0.0,19.80,,,,0.00
1981-06-26,0.0,19.80,,,,0.00
1981-06-27,0.0,19.80,,,,0.00
1981-06-28,0.0,19.80,,,,0.60
1981-06-29,0.0,20.40,,,,0.00
1981-06-30,0.0,20.40,,,,0.10
1981-07-01,0.0,20.50,,,,0.60
1981-07-02,0.0,21.10,,,,0.00
1981-07-03,0.0,21.10,,,,0.10
1981-07-04,0.0,21.20,,,,0.00
1981-07-05,0.0,21.20,,,,0.00
1981-07-06,0.0,21.20,,,,0.00
1981-07-07,0.0,21.20,,,,0.00
1981-07-08,0.0,21.20,,,,0.00
1981-07-09,0.0,21.20,,,,0.80
1981-07-10,0.0,22.00,,,,0.00
1981-07-11,0.0,22.00,,,,1.10
1981-07-12,0.0,23.10,,,,0.60
1981-07-13,0.0,23.70,,,,0.20
1981-07-14,0.0,23.90,,,,0.30
1981-07-15,0.0,24.20,,,,0.40
1981-07-16,0.0,24.60,,,,0.10
1981-07-17,0.0,24.70,,,,0.30
1981-07-18,0.0,25.00,,,,0.00
1981-07-19,0.0,25.00,,,,0.00
1981-07-20,0.0,25.00,,,,0.00
1981-07-21,0.0,25.00,,,,0.00
1981-07-22,0.0,25.00,,,,0.10
1981-07-23,0.0,25.10,,,,0.10
1981-07-24,0.0,25.20,,,,0.20
1981-07-25,0.0,25.40,,,,0.80
1981-07-26,0.0,26.20,,,,0.10
1981-07-27,0.0,26.30,,,,0.10
1981-07-28,0.0,26.40,,,,0.00
1981-07-29,0.0,26.40,,,,0.00
1981-07-30,0.0,26.40,,,,0.00
1981-07-31,0.0,26.40,,,,0.00
1981-08-01,0.0,26.40,,,,0.00
1981-08-02,0.0,26.40,,,,0.00
1981-08-03,0.0,26.40,,,,0.00
1981-08-04,0.0,26.40,,,,0.00
1981-08-05,0.0,26.40,,,,0.00
1981-08-06,0.0,26.40,,,,0.10
1981-08-07,0.0,26.50,,,,0.00
1981-08-08,0.0,26.50,,,,0.10
1981-08-09,0.0,26.60,,,,0.20
1981-08-10,0.0,26.80,,,,0.20
1981-08-11,0.0,27.00,,,,0.60
1981-08-12,0.0,27.60,,,,0.30
1981-08-13,0.0,27.90,,,,0.20
1981-08-14,0.0,28.10,,,,0.00
1981-08-15,0.0,28.10,,,,0.00
1981-08-16,0.0,28.10,,,,0.00
1981-08-17,0.0,28.10,,,,0.00
1981-08-18,0.0,28.10,,,,0.00
1981-08-19,0.0,28.10,,,,0.00
1981-08-20,0.0,28.10,,,,0.00
1981-08-21,0.0,28.10,,,,0.20
1981-08-22,0.0,28.30,,,,0.00
1981-08-23,0.0,28.30,,,,0.00
1981-08-24,0.0,28.30,,,,0.00
1981-08-25,0.0,28.30,,,,0.00
1981-08-26,0.0,28.30,,,,0.00
1981-08-27,0.0,28.30,,,,0.20
1981-08-28,0.0,28.50,,,,0.40
1981-08-29,0.0,28.90,,,,0.10
1981-08-30,0.0,29.00,,,,0.20
1981-08-31,0.0,29.20,,,,0.10
1981-09-01,0.0,29.30,,,,0.00
1981-09-02,0.0,29.30,,,,0.00
1981-09-03,0.0,29.30,,,,0.00
1981-09-04,0.0,29.30,,,,0.00
1981-09-05,0.0,29.30,,,,0.70
1981-09-06,0.0,30.00,,,,0.00
1981-09-07,0.0,30.00,,,,0.00
1981-09-08,0.0,30.00,,,,0.00
1981-09-09,0.0,30.00,,,,0.00
1981-09-10,0.0,30.00,,,,0.00
1981-09-11,0.0,30.00,,,,0.00
1981-09-12,0.0,30.00,,,,0.00
1981-09-13,0.0,30.00,,,,0.00
1981-09-14,0.0,30.00,,,,1.10
1981-09-15,0.0,31.10,,,,0.00
1981-09-16,0.0,31.10,,,,0.00
1981-09-17,0.0,31.10,,,,0.00
1981-09-18,0.0,31.10,,,,0.00
1981-09-19,0.0,31.10,,,,0.10
1981-09-20,0.0,31.20,,,,0.00
1981-09-21,0.0,31.20,,,,0.00
1981-09-22,0.0,31.20,,,,0.00
1981-09-23,0.0,31.20,,,,1.00
1981-09-24,0.0,32.20,,,,0.00
1981-09-25,0.0,32.20,,,,0.00
1981-09-26,0.0,32.20,,,,0.00
1981-09-27,0.0,32.20,,,,0.00
1981-09-28,0.0,32.20,,,,0.00
1981-09-29,0.0,32.20,,,,0.00
1981-09-30,0.0,32.20,,,,0.00
1981-10-01,0.0,0.00,,,,0.00
1981-10-02,0.0,0.00,,,,0.00
1981-10-03,0.0,0.00,,,,1.10
1981-10-04,0.0,1.10,,,,0.00
1981-10-05,0.0,1.10,,,,0.60
1981-10-06,0.0,1.70,,,,0.40
1981-10-07,0.0,2.10,,,,0.00
1981-10-08,0.0,2.10,,,,0.00
1981-10-09,0.0,2.10,,,,0.00
1981-10-10,0.0,2.10,,,,0.00
1981-10-11,0.0,2.10,,,,0.00
1981-10-12,0.0,2.10,,,,0.60
1981-10-13,0.0,2.70,,,,0.00
1981-10-14,0.0,2.70,,,,0.00
1981-10-15,0.0,2.70,,,,0.00
1981-10-16,0.0,2.70,,,,0.00
1981-10-17,0.0,2.70,,,,0.00
1981-10-18,0.0,2.70,,,,1.00
1981-10-19,0.4,3.70,,,,0.00
1981-10-20,0.4,3.70,,,,0.00
1981-10-21,0.4,3.70,,,,0.20
1981-10-22,0.0,3.90,,,,0.00
1981-10-23,0.0,3.90,,,,0.00
1981-10-24,0.0,3.90,,,,0.30
1981-10-25,0.5,4.20,,,,0.00
1981-10-26,0.2,4.20,,,,0.00
1981-10-27,0.1,4.20,,,,0.00
1981-10-28,0.0,4.20,,,,0.10
1981-10-29,0.0,4.30,,,,0.80
1981-10-30,0.7,5.10,,,,0.40
1981-10-31,1.1,5.50,,,,0.10
1981-11-01,1.1,5.60,,,,0.00
1981-11-02,1.1,5.60,,,,0.00
1981-11-03,1.3,5.60,,,,0.00
1981-11-04,1.3,5.60,,,,0.00
1981-11-05,1.3,5.60,,,,0.00
1981-11-06,1.3,5.60,,,,0.20
1981-11-07,1.7,5.80,,,,0.30
1981-11-08,1.8,6.10,,,,0.00
1981-11-09,1.8,6.10,,,,0.00
1981-11-10,1.8,6.10,,,,0.00
1981-11-11,1.8,6.10,,,,0.00
1981-11-12,1.8,6.10,,,,0.00
1981-11-13,1.8,6.10,,,,0.00
1981-11-14,1.8,6.10,,,,0.00
1981-11-15,1.8,6.10,,,,0.00
1981-11-16,1.8,6.10,,,,0.00
1981-11-17,1.8,6.10,,,,0.00
1981-11-18,1.8,6.10,,,,0.10
1981-11-19,1.8,6.20,,,,0.00
1981-11-20,2.0,6.20,,,,0.00
1981-11-21,2.3,6.20,,,,0.00
1981-11-22,2.7,6.20,,,,0.00
1981-11-23,2.7,6.20,,,,0.00
1981-11-24,2.5,6.20,,,,0.00
1981-11-25,2.5,6.20,,,,0.20
1981-11-26,2.5,6.40,,,,0.00
1981-11-27,2.5,6.40,,,,0.30
1981-11-28,2.5,6.70,,,,0.00
1981-11-29,2.6,6.70,,,,0.60
1981-11-30,2.8,7.30,,,,0.30
1981-12-01,2.9,7.60,,,,0.00
1981-12-02,3.0,7.60,,,,0.00
1981-12-03,3.0,7.60,,,,0.00
1981-12-04,3.1,7.60,,,,0.00
